"variation","mrr","first_mrr"
"hpttgswhlopta",243.0387,162.0258
"hpttgswhloptb",590,290
"hpttgswhlopta",12.5,12.5
"hpttgswhloptb",18.204,71.6024
"hpttgswhlopta","0.00000",15
"hpttgswhlopta",18.204,18.204
"hpttgswhloptb",214.8072,214.8072
"hpttgswhloptb",15.17,15.17
"hpttgswhlopta","0.00000",59
"hpttgswhlopta",18.204,18.204
"hpttgswhloptb",45,30
"hpttgswhloptb","0.00000",68
"hpttgswhloptb","0.00000",15
"hpttgswhlopta","0.00000",20.5965
"hpttgswhloptb",59,59
"hpttgswhloptb",87,87
"hpttgswhloptb",105.5832,105.5832
"hpttgswhlopta",3255.975,522
"hpttgswhloptb",29,21.75
"hpttgswhloptb",15,15
"hpttgswhlopta",70.3888,70.3888
"hpttgswhlopta","0.00000",18.204
"hpttgswhloptb",383,59
"hpttgswhloptb","0.00000",15
"hpttgswhloptb",15,15
"hpttgswhloptb",1003,59
"hpttgswhloptb","0.00000",216
"hpttgswhloptb",20.5965,20.5965
"hpttgswhlopta",29,29
"hpttgswhloptb",15,15
"hpttgswhloptb","0.00000",35.1944
"hpttgswhlopta",71.6024,71.6024
"hpttgswhloptb","0.00000",116
"hpttgswhloptb",24.9,24.9
"hpttgswhlopta","0.00000",59
"hpttgswhloptb",15,15
"hpttgswhloptb",140.7776,140.7776
"hpttgswhlopta",572.8192,70.3888
"hpttgswhlopta",275,15
"hpttgswhlopta",29,14.5
"hpttgswhlopta",35.1944,35.1944
"hpttgswhlopta",15,15
"hpttgswhlopta",58,29
"hpttgswhloptb",18.204,18.204
"hpttgswhlopta",36.408,36.408
"hpttgswhloptb",82.4,132.3
"hpttgswhlopta","0.00000",58
"hpttgswhlopta","0.00000",59
"hpttgswhlopta",75,75
"hpttgswhloptb",24.9,24.9
"hpttgswhloptb",15,15
"hpttgswhloptb",29,29
"hpttgswhlopta",39.8199,39.8199
"hpttgswhlopta",15.17,15.17
"hpttgswhlopta","0.00000",59
"hpttgswhlopta",15,15
"hpttgswhlopta","0.00000",71.6024
"hpttgswhlopta",39.8199,39.8199
"hpttgswhlopta","0.00000",15
"hpttgswhloptb",71.6024,71.6024
"hpttgswhlopta",223.3024,223.3024
"hpttgswhlopta","0.00000",15
"hpttgswhloptb",59,29.5
"hpttgswhloptb",30,30
"hpttgswhlopta",12.5,12.5
"hpttgswhloptb",484.46912,71.6024
"hpttgswhlopta","0.00000",87
"hpttgswhlopta",174,145
"hpttgswhlopta",87,58
"hpttgswhlopta","0.00000",15
"hpttgswhlopta",145.632,145.632
"hpttgswhloptb",206,157
"hpttgswhlopta",15,15
"hpttgswhloptb","0.00000",15
"hpttgswhloptb","0.00000",70.3888
"hpttgswhlopta",1002.4336,72.816
"hpttgswhlopta",30,118
"hpttgswhloptb",118,118
"hpttgswhlopta",118,29
"hpttgswhlopta",157,98
"hpttgswhlopta",59,59
"hpttgswhloptb","0.00000",94.4
"hpttgswhlopta","0.00000",29
"hpttgswhlopta",175.972,140.7776
"hpttgswhloptb","0.00000",20.5965
"hpttgswhloptb",12.5,12.5
"hpttgswhloptb",79.6398,79.6398
"hpttgswhloptb","0.00000",177
"hpttgswhloptb",18.204,18.204
"hpttgswhlopta",12.5,12.5
"hpttgswhlopta","0.00000",59
"hpttgswhlopta",30.34,30.34
"hpttgswhloptb",15,15
"hpttgswhlopta",422.3328,35.1944
"hpttgswhlopta",20.5965,20.5965
"hpttgswhloptb",87,58
"hpttgswhlopta",30,15
"hpttgswhloptb",39.8199,39.8199
"hpttgswhloptb","0.00000",24.9
"hpttgswhloptb",60.43728,60.43728
"hpttgswhlopta",236,236
"hpttgswhlopta","0.00000",118
"hpttgswhloptb","0.00000",81.0129
"hpttgswhlopta",30.34,30.34
"hpttgswhlopta","0.00000",35.1944
"hpttgswhloptb",110.19488,30.21864
"hpttgswhlopta",157,157
"hpttgswhloptb","0.00000",11.25
"hpttgswhlopta",87,29
"hpttgswhloptb",45,45
"hpttgswhlopta","0.00000",29
"hpttgswhlopta",177,58
"hpttgswhloptb","0.00000",59
"hpttgswhlopta",118,177
"hpttgswhlopta",249.5,349.3
"hpttgswhloptb","0.00000",59
"hpttgswhloptb","0.00000",70.3888
"hpttgswhlopta",157,126
